,treatment ,lv,root,G1,G2,G3,H1,H2,H3,L1,L2,L3,WSA,pH,WHC,MWD,respiration
59,A-Si,2,11.52,1.0175,1.5428,0.6847,0.1405,0.7595,0.2874,0,0.0992,3.4663,23.14456703,7.18,31.5,0.712,1012.977
60,A-Si,2,10.31,0.4185,0.2214,1.5514,0.2439,0.7261,0.3519,0.4541,0.3416,2.5505,34.2862063,7.19,31.3,0.642,1111.418
61,A-Si,2,9.38,0.5208,1.7711,1.6098,0.0869,0.6429,0.2931,0,0.3553,2.7641,35.86462142,7.4,31.6,0.644,1187.232
62,A-V,2,4.37,1.5436,0.1345,0.9657,0.158,0.0045,0,0,0.8983,1.0344,25.47805009,7.35,29.3,0.638,1530.259
63,A-V,2,4.96,2.1148,0.7651,0.6819,0.0306,0.218,0,0,0.8166,3.0132,32.36847577,7.44,29.4,0.576,1554.912
64,A-V,2,5.63,2.0725,0.4637,1.3294,0.1764,0,0,0,0.275,2.8694,32.86428753,7.51,30.8,0.608,1052.553
65,A-St,2,4.3,0.7496,0.703,1.2902,0.3652,0.3933,0.057,0.0636,0.1881,2.892,24.29329712,7.53,28.4,0.66,1022.925
66,A-St,2,7.88,0.3653,0.363,0.2853,0.2921,0.9734,0.0164,0.2244,0.1126,4.7236,23.79293181,7.5,29.9,0.701,1060.569
67,A-St,2,6.41,0.3075,0.4204,1.0413,0.1981,0.6979,0.0035,0.0178,0.2784,3.4577,35.06729237,7.53,30.9,0.637,1220.908
68,A-P,2,6.18,1.2266,1.5154,1.4627,0.1655,0.1078,0.0499,0,0.1068,1.2727,24.11040774,7.56,30,0.592,2273.721
69,A-P,2,5.8,0.6684,0.1499,1.7117,0.1695,0.1123,0,0,0.0471,0.0571,47.01744379,7.62,29.9,0.637,1720.931
70,A-P,2,6.3,1.8122,1.0292,0.4476,0.1314,0.238,0,0.1281,0.0577,2.4656,27.31812277,7.66,30.2,0.596,1400.857
71,Be-Bi,2,15.52,0.3559,0.2738,0.6718,0.2627,0.8098,0.229,0.2592,0.267,3.5662,38.08962264,7.48,31.3,0.664,1870.134
72,Be-Bi,2,9.69,1.3273,0.5998,0.3399,0.0863,0.8869,0.4325,0,0.5467,8.7683,38.22961669,7.44,31.9,0.703,1508.162
73,Be-Bi,2,6.95,0.4897,0.3985,1.1686,0.1931,0.2927,0.0001,0.0877,0.837,2.7062,25.11996827,7.56,29.1,0.698,1129.053
74,Be-V,2,7.65,1.2028,1.1372,1.0793,0.106,0.6311,0.008,0.0016,0.9343,2.7139,29.11791373,7.62,28.1,0.697,1192.116
75,Be-V,2,5.61,0.8876,0.1285,1.3499,0.0901,0.2547,0,0,0.1149,1.9716,25.67795894,7.61,29.1,0.669,1670.809
76,Be-V,2,4.63,0.7334,2.4348,1.3792,0.1132,0.5796,0.007,0,0.6431,0.0314,27.26043032,7.58,31.6,0.667,1971.35
