A,Be,Bi,P,St,Si,V,treatment ,evenness,richness,root,plant,FG_G,FG_H,FG_L,WSA,pH,WHC,lv,remark,nr,dissim
0,0,0,1,0,0,0,P,0.660515643,8,5.27,6.2011,2.4779,0.2509,3.4723,24.91452422,7.62,30.2,1,P,39,0
0,0,0,1,0,0,0,P,0.833612917,8,7.32,5.5362,3.3876,0.435,1.7136,23.37634128,7.62,30.2,1,P,40,0
0,0,0,0,1,0,0,St,0.563670988,8,7.14,8.332,0.9724,1.4048,5.9548,32.03759077,7.62,33,1,St,41,0
0,0,0,0,1,0,0,St,0.646278029,9,8.72,6.3041,1.6567,0.4454,4.202,23.73947863,7.58,28.2,1,St,42,0
0,0,0,0,1,0,0,St,0.705473758,9,7.94,9.2393,1.9506,0.9381,6.3506,33.67161402,7.65,29.5,1,St,43,0
0,0,0,0,1,0,0,St,0.6905932,9,5.65,5.4557,1.1382,1.0476,3.2699,32.38518395,7.7,28.1,1,St,44,0
0,0,0,0,1,0,0,St,0.521465291,9,5.32,10.1005,1.4649,1.2938,7.3418,34.03170053,7.65,30.5,1,St,45,0
0,0,0,0,1,0,0,St,0.721304333,9,10.4,9.7628,2.0487,1.0586,6.6555,33.2688758,7.63,29.1,1,St,46,0
0,0,0,0,0,1,0,Si,0.737482315,8,5.91,8.4257,2.1297,0.9537,5.3423,26.99803848,7.64,31.1,1,Si,47,0
0,0,0,0,0,1,0,Si,0.825198041,9,11.9,5.3126,1.1094,1.2856,2.9176,24.64388039,7.55,30.8,1,Si,48,0
0,0,0,0,0,1,0,Si,0.676102222,9,7.65,9.7041,2.9883,0.6711,6.0447,25.40650407,7.57,30.9,1,Si,49,0
0,0,0,0,0,1,0,Si,0.814737548,9,7.39,6.1313,1.6031,1.3097,3.2185,31.34872418,7.49,27.8,1,Si,50,0
0,0,0,0,0,1,0,Si,0.804652498,9,5.47,6.4219,2.5292,0.7417,3.151,23.48150526,7.03,28.5,1,Si,51,0
0,0,0,0,0,1,0,Si,0.879292967,8,8.01,6.8474,2.9779,1.2112,2.6583,36.5942524,7.04,30.7,1,Si,52,0
0,0,0,0,0,0,1,V,0.71840881,8,7.61,8.3658,3.0971,0.7968,4.4719,19.81826049,7.03,28,1,V,53,0
0,0,0,0,0,0,1,V,0.866020251,8,7.57,6.5154,3.2385,1.1374,2.1395,22.77279703,7.2,27,1,V,54,0
0,0,0,0,0,0,1,V,0.771653192,8,7.02,6.423,2.4125,1.4577,2.5528,32.39070014,7.15,28.9,1,V,55,0
0,0,0,0,0,0,1,V,0.746601374,9,7.47,7.1001,2.851,0.994,3.2551,29.10872449,7.14,28.3,1,V,56,0
0,0,0,0,0,0,1,V,0.69228345,9,9.22,8.312,4.193,0.3422,3.7768,25.09489487,7.19,29.5,1,V,57,0
0,0,0,0,0,0,1,V,0.700780841,7,5.91,8.2412,4.7783,0.2928,3.1701,18.46072066,7.17,28.5,1,V,58,0
1,0,0,0,0,0,0,A,0.756894393,8,8.38,7.6394,3.4263,1.0245,3.1886,54.99421907,7.45,25,1,1,11,0
1,0,0,0,0,0,0,A,0.863787165,9,6.63,5.6061,3.0295,0.7015,1.8751,35.55805795,7.54,32,1,1,12,0
1,0,0,0,0,0,0,A,0.713870203,7,7.85,8.1079,3.82,0.5717,3.7162,33.74856511,7.46,29.8,1,1,13,0
1,0,0,0,0,0,0,A,0.69845637,6,8.89,6.803,5.6038,0.0953,1.1039,28.92717998,7.46,27.1,1,1,14,0
1,0,0,0,0,0,0,A,0.796162943,7,5.94,3.8671,2.7022,0.2464,0.9185,35.59982676,7.12,27.3,1,1,15,0
